Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Federico Valverde,uy URU,MF,25.0,32.3,2117,2077,31,23,14,33,30,5,0,0,0,0,1901,9,18,Matches
Antonio Rüdiger,de GER,DF,30.0,30.1,1815,1761,50,30,3,10,4,9,0,0,0,0,1630,4,9,Matches
Rodrygo,br BRA,FW,22.0,26.4,1007,961,42,6,3,1,32,10,13,1,6,0,883,4,17,Matches
Jude Bellingham,eng ENG,MF,20.0,25.7,1543,1490,43,18,18,14,21,12,1,1,0,0,1363,10,25,Matches
Dani Carvajal,es ESP,DF,31.0,24.1,1475,1284,190,37,3,3,49,153,0,0,0,0,1265,1,34,Matches
Toni Kroos,de GER,MF,33.0,23.6,2505,2260,239,137,6,53,118,13,89,32,34,0,2291,6,13,Matches
Aurélien Tchouaméni,fr FRA,"MF,DF",23.0,22.1,1520,1461,53,49,1,4,22,2,0,0,0,0,1377,6,9,Matches
Vinicius Júnior,br BRA,FW,23.0,20.7,690,663,22,4,10,22,56,7,5,0,0,0,499,5,34,Matches
Andriy Lunin,ua UKR,GK,24.0,21.0,666,531,133,17,0,1,0,0,0,0,0,0,580,2,2,Matches
Eduardo Camavinga,fr FRA,"MF,DF",20.0,20.2,1328,1278,44,24,4,9,4,20,0,0,0,0,1205,6,12,Matches
Ferland Mendy,fr FRA,DF,28.0,19.1,1275,1127,148,12,0,4,5,136,0,0,0,0,1201,0,8,Matches
Nacho,es ESP,DF,33.0,19.4,1281,1191,89,41,0,5,3,10,0,0,0,0,1183,1,4,Matches
Luka Modrić,hr CRO,MF,37.0,18.8,1669,1506,156,67,6,27,90,9,69,15,38,0,1452,7,23,Matches
Brahim Díaz,ma MAR,"FW,MF",23.0,17.2,740,705,29,8,7,2,31,6,7,3,2,0,624,6,12,Matches
Joselu,es ESP,FW,33.0,18.7,360,342,15,0,2,1,6,3,0,0,0,0,260,3,9,Matches
Fran Garcia,es ESP,DF,23.0,15.5,997,866,129,7,2,3,60,122,0,0,0,0,841,2,20,Matches
Lucas Vázquez,es ESP,DF,32.0,15.8,1085,952,132,10,5,7,47,120,2,0,1,0,930,1,17,Matches
David Alaba,at AUT,DF,31.0,12.8,904,835,65,23,4,7,17,5,12,7,3,0,810,4,2,Matches
Kepa Arrizabalaga,es ESP,GK,28.0,13.3,456,374,82,12,0,1,0,0,0,0,0,0,386,0,1,Matches
Éder Militão,br BRA,DF,25.0,5.5,329,308,20,10,0,8,1,1,0,0,0,0,297,1,2,Matches
Dani Ceballos,es ESP,"MF,FW",26.0,6.6,542,519,22,11,5,5,8,5,6,1,2,0,486,1,10,Matches
Arda Güler,tr TUR,"FW,MF",18.0,4.2,218,205,13,4,0,3,13,2,6,5,0,0,183,0,4,Matches
Thibaut Courtois,be BEL,GK,31.0,3.7,123,103,20,2,0,1,0,0,0,0,0,0,113,0,0,Matches
Nicolás Paz,ar ARG,"MF,FW",18.0,0.3,24,23,1,0,0,0,1,0,1,1,0,0,18,0,0,Matches
Gonzalo García,es ESP,"FW,MF",19.0,0.2,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Mario Martín,es ESP,MF,19.0,0.2,15,14,1,1,0,0,0,0,0,0,0,0,12,0,0,Matches
Álvaro Muñoz,uy URU,FW,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,27.4,38.0,24691,22843,1769,553,93,224,618,650,211,66,86,0,21794,79,285,0
Opponent Total,0,0,27.1,38.0,17114,15408,1668,435,33,163,680,644,145,62,48,1,14072,38,376,0
