Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
William Saliba,fr FRA,DF,22.0,38.0,2635,2851,92.4,43599,15948,1202,1274,94.3,1298,1373,94.5,104,150,69.3,1,0.2,0.9,0.8,6,175,6,1,157,Matches
Declan Rice,eng ENG,MF,24.0,35.8,2041,2295,88.9,34242,9378,958,1031,92.9,910,975,93.3,137,210,65.2,8,5.3,4.8,2.7,47,240,39,2,278,Matches
Martin Ødegaard,no NOR,MF,24.0,34.3,1692,2006,84.3,25780,7898,907,992,91.4,635,744,85.3,91,140,65.0,10,9.6,11.2,0.4,102,160,130,13,344,Matches
Ben White,eng ENG,DF,25.0,33.2,1828,2177,84.0,28002,9801,999,1099,90.9,713,832,85.7,85,171,49.7,4,3.8,3.7,0.2,38,172,45,10,192,Matches
Bukayo Saka,eng ENG,FW,21.0,32.4,1143,1512,75.6,16891,4402,705,793,88.9,331,427,77.5,80,183,43.7,9,10.5,11.0,-1.5,91,39,73,12,126,Matches
Gabriel Magalhães,br BRA,DF,25.0,33.8,1914,2157,88.7,32123,10388,841,885,95.0,942,1013,93.0,108,199,54.3,0,0.7,0.7,-0.7,3,143,9,1,117,Matches
David Raya,es ESP,GK,27.0,32.0,800,1068,74.9,19691,14108,228,231,98.7,387,391,99.0,183,439,41.7,0,0.0,0.1,0.0,0,30,0,0,2,Matches
Kai Havertz,de GER,"MF,FW",24.0,29.3,764,955,80.0,9583,2405,525,609,86.2,195,245,79.6,7,15,46.7,7,4.4,4.3,2.6,46,65,29,1,99,Matches
Gabriel Martinelli,br BRA,FW,22.0,22.4,724,929,77.9,11003,2008,424,490,86.5,237,292,81.2,47,85,55.3,4,6.1,5.2,-2.1,46,22,33,7,65,Matches
Oleksandr Zinchenko,ua UKR,DF,26.0,19.1,1374,1568,87.6,23132,6928,653,706,92.5,601,667,90.1,95,134,70.9,2,2.5,2.9,-0.5,29,154,49,4,229,Matches
Leandro Trossard,be BEL,"FW,MF",28.0,18.3,494,673,73.4,7666,1927,271,315,86.0,181,241,75.1,31,60,51.7,1,2.8,3.2,-1.8,24,28,29,4,76,Matches
Gabriel Jesus,br BRA,FW,26.0,16.4,403,513,78.6,5315,971,259,306,84.6,111,140,79.3,10,16,62.5,5,3.8,3.2,1.2,29,18,19,1,42,Matches
Jakub Kiwior,pl POL,DF,23.0,10.5,523,625,83.7,8555,3042,270,303,89.1,214,249,85.9,34,58,58.6,3,0.9,0.6,2.1,6,43,8,3,55,Matches
Takehiro Tomiyasu,jp JPN,DF,24.0,12.8,574,697,82.4,8941,2520,306,342,89.5,229,267,85.8,27,56,48.2,1,0.4,0.8,0.6,6,60,10,3,72,Matches
Eddie Nketiah,eng ENG,FW,24.0,12.0,168,215,78.1,2332,267,98,118,83.1,60,72,83.3,3,4,75.0,2,0.8,0.7,1.2,9,7,5,0,20,Matches
Jorginho,it ITA,MF,31.0,10.2,699,785,89.0,11386,3439,360,380,94.7,280,310,90.3,45,59,76.3,2,1.4,2.1,0.6,10,81,25,1,101,Matches
Thomas Partey,gh GHA,"MF,DF",30.0,8.8,570,636,89.6,9177,2564,298,321,92.8,224,243,92.2,37,54,68.5,0,0.3,0.6,-0.3,6,61,14,2,72,Matches
Aaron Ramsdale,eng ENG,GK,25.0,6.0,131,188,69.7,3303,2420,38,38,100.0,61,62,98.4,32,86,37.2,0,0.0,0.0,0.0,0,4,0,0,2,Matches
Emile Smith Rowe,eng ENG,MF,23.0,3.9,188,213,88.3,2449,496,128,143,89.5,54,57,94.7,1,4,25.0,1,0.2,0.4,0.8,4,13,11,0,23,Matches
Fabio Vieira,pt POR,"MF,FW",23.0,3.3,122,150,81.3,1969,421,67,75,89.3,44,53,83.0,9,17,52.9,2,1.6,0.8,0.4,5,12,6,1,15,Matches
Reiss Nelson,eng ENG,FW,23.0,3.0,127,144,88.2,1674,298,80,83,96.4,31,36,86.1,6,12,50.0,0,0.6,0.4,-0.6,5,1,6,2,5,Matches
Jurriën Timber,nl NED,DF,22.0,0.8,66,74,89.2,982,221,35,36,97.2,30,33,90.9,1,2,50.0,0,0.0,0.0,0.0,0,11,0,0,8,Matches
Cédric Soares,pt POR,DF,31.0,0.7,60,69,87.0,905,157,39,41,95.1,15,17,88.2,5,8,62.5,0,0.0,0.0,0.0,0,4,0,0,3,Matches
Mohamed Elneny,eg EGY,MF,31.0,0.3,39,40,97.5,624,147,18,19,94.7,21,21,100.0,0,0,0.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Ethan Nwaneri,eng ENG,FW,16.0,0.2,15,18,83.3,209,56,10,13,76.9,5,5,100.0,0,0,0.0,0,0.0,0.0,0.0,1,1,2,0,2,Matches
Squad Total,0,0,25.0,38.0,19094,22558,84.6,309533,102210,9719,10643,91.3,7809,8765,89.1,1178,2162,54.5,62,55.3,57.8,6.7,513,1546,548,68,2106,0
Opponent Total,0,0,26.3,38.0,12735,16241,78.4,217385,76188,6176,6946,88.9,5121,5958,86.0,1113,2437,45.7,20,19.9,18.7,0.1,226,889,163,33,938,0
