Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Rubén Alcaraz,es ESP,MF,32.0,34.8,3,46,10,21.7,1.32,0.29,0.02,0.1,24.9,8,2,2,3.3,1.7,0.04,-0.3,-0.7,Matches
Jeremías Ledesma,ar ARG,GK,30.0,33.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Chris Ramos,es ESP,"FW,MF",26.0,29.0,5,76,27,35.5,2.62,0.93,0.07,0.19,12.0,0,0,0,10.1,10.1,0.13,-5.1,-5.1,Matches
Fali,es ESP,DF,29.0,28.3,0,11,3,27.3,0.39,0.11,0.0,0.0,15.6,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
Isaac Carcelen,es ESP,DF,30.0,29.0,0,10,3,30.0,0.34,0.1,0.0,0.0,20.2,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Javi Hernández,es ESP,DF,25.0,27.9,1,30,8,26.7,1.07,0.29,0.03,0.13,24.0,6,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches
Roberto Navarro,es ESP,"MF,FW",21.0,21.0,1,30,9,30.0,1.43,0.43,0.03,0.11,19.1,0,0,0,2.1,2.1,0.07,-1.1,-1.1,Matches
Víctor Chust,es ESP,DF,23.0,20.7,0,4,0,0.0,0.19,0.0,0.0,0.0,9.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Iván Alejo,es ESP,MF,28.0,18.8,0,11,2,18.2,0.59,0.11,0.0,0.0,21.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Gonzalo Escalante,ar ARG,MF,30.0,18.9,1,14,3,21.4,0.74,0.16,0.07,0.33,17.4,0,0,0,1.9,1.9,0.14,-0.9,-0.9,Matches
Rubén Sobrino,es ESP,"MF,FW",31.0,18.3,0,21,3,14.3,1.15,0.16,0.0,0.0,17.9,0,0,0,1.8,1.8,0.09,-1.8,-1.8,Matches
Roger Martí,es ESP,FW,32.0,15.1,2,33,12,36.4,2.19,0.79,0.06,0.17,17.8,0,0,0,2.8,2.8,0.08,-0.8,-0.8,Matches
Lucas,br BRA,DF,22.0,17.1,1,11,4,36.4,0.64,0.23,0.09,0.25,21.5,3,0,0,0.8,0.8,0.07,0.2,0.2,Matches
Álex Fernández,es ESP,MF,30.0,14.3,0,7,1,14.3,0.49,0.07,0.0,0.0,24.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Maxi Gómez,uy URU,FW,26.0,12.9,0,16,6,37.5,1.24,0.46,0.0,0.0,14.3,1,0,0,1.6,1.6,0.1,-1.6,-1.6,Matches
Darwin Machís,ve VEN,MF,30.0,8.7,4,20,9,45.0,2.29,1.03,0.15,0.33,24.2,1,1,1,1.4,0.6,0.03,2.6,2.4,Matches
Juanmi,es ESP,FW,30.0,9.7,3,14,7,50.0,1.44,0.72,0.21,0.43,12.6,0,0,0,2.5,2.5,0.18,0.5,0.5,Matches
Rominigue Kouamé,ml MLI,MF,26.0,9.1,0,5,0,0.0,0.55,0.0,0.0,0.0,22.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Joseba Zaldúa,es ESP,DF,31.0,7.8,0,1,0,0.0,0.13,0.0,0.0,0.0,34.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Luis Hernández,es ESP,DF,34.0,8.0,1,1,1,100.0,0.12,0.12,1.0,1.0,2.2,0,0,0,1.0,1.0,0.95,0.0,0.0,Matches
Jorge Meré,es ESP,DF,26.0,7.5,0,4,1,25.0,0.53,0.13,0.0,0.0,18.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Aiham Ousou,sy SYR,DF,23.0,4.8,0,2,0,0.0,0.42,0.0,0.0,0.0,13.3,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
David Gil,es ESP,GK,29.0,4.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Fede San Emeterio,es ESP,MF,26.0,1.7,1,1,1,100.0,0.59,0.59,1.0,1.0,5.0,0,0,0,0.1,0.1,0.06,0.9,0.9,Matches
Mamadou Mbaye,sn SEN,DF,25.0,3.2,0,2,1,50.0,0.62,0.31,0.0,0.0,7.9,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
Sergi Guardiola,es ESP,"FW,MF",32.0,5.5,1,14,5,35.7,2.55,0.91,0.07,0.2,16.9,0,0,0,1.8,1.8,0.13,-0.8,-0.8,Matches
Brian Ocampo,uy URU,"MF,FW",24.0,2.8,1,5,2,40.0,1.81,0.73,0.2,0.5,23.0,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches
Diadie Samassékou,ml MLI,MF,27.0,1.0,0,1,1,100.0,0.98,0.98,0.0,0.0,25.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Álvaro Negredo,es ESP,"FW,MF",37.0,0.6,0,3,1,33.3,5.0,1.67,0.0,0.0,29.1,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Karl Etta,cm CMR,FW,19.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
José Mari,es ESP,"MF,FW",35.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Milutin Osmajić,me MNE,MF,24.0,0.1,0,2,0,0.0,36.0,0.0,0.0,0.0,12.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Borja Vázquez,es ESP,FW,18.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Moussa Diakité,ml MLI,MF,19.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,28.5,38.0,25,395,120,30.4,10.39,3.16,0.06,0.18,18.4,21,3,3,36.0,33.6,0.09,-11.0,-11.6,0
Opponent Total,0,0,27.3,38.0,54,508,173,34.1,13.37,4.55,0.1,0.3,18.3,26,2,2,52.3,50.7,0.1,1.7,1.3,0
