Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Filip Jørgensen,dk DEN,GK,21.0,36.0,2,0.06,1,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Alex Baena,es ESP,"MF,FW",22.0,28.7,151,5.27,93,34,10,9,2,3,22,0.77,14,5,0,2,0,1,Matches
Alexander Sørloth,no NOR,FW,27.0,27.7,68,2.46,51,0,6,8,2,1,17,0.61,8,0,2,5,2,0,Matches
Daniel Parejo,es ESP,MF,34.0,28.7,79,2.76,55,21,0,2,0,1,10,0.35,7,2,0,1,0,0,Matches
Gerard Moreno,es ESP,FW,31.0,24.6,100,4.07,83,0,7,7,2,1,11,0.45,9,0,0,2,0,0,Matches
Raúl Albiol,es ESP,DF,37.0,22.6,4,0.18,2,0,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
Jorge Cuenca,es ESP,DF,23.0,21.8,15,0.69,12,0,2,0,0,1,2,0.09,2,0,0,0,0,0,Matches
Santi Comesaña,es ESP,MF,26.0,18.4,37,2.02,31,1,0,3,1,1,3,0.16,2,0,0,1,0,0,Matches
Ilias Akhomach,ma MAR,"MF,FW",19.0,16.8,57,3.4,34,2,13,2,5,1,3,0.18,2,0,1,0,0,0,Matches
Alberto Moreno,es ESP,DF,31.0,16.5,36,2.18,27,2,0,3,4,0,8,0.49,5,1,0,1,1,0,Matches
Kiko Femenía,es ESP,DF,32.0,17.6,31,1.76,26,4,0,0,0,1,4,0.23,3,1,0,0,0,0,Matches
Étienne Capoue,fr FRA,MF,35.0,16.2,32,1.98,26,0,2,1,3,0,4,0.25,2,0,1,0,1,0,Matches
Yerson Mosquera,co COL,DF,22.0,13.7,18,1.32,15,0,0,0,3,0,3,0.22,3,0,0,0,0,0,Matches
Alfonso Pedraza,es ESP,DF,27.0,12.4,32,2.58,25,1,1,4,1,0,3,0.24,2,0,0,1,0,0,Matches
Aïssa Mandi,dz ALG,DF,31.0,12.4,15,1.21,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Juan Foyth,ar ARG,DF,25.0,11.8,12,1.02,9,1,1,1,0,0,1,0.08,1,0,0,0,0,0,Matches
Francis Coquelin,fr FRA,MF,32.0,10.1,16,1.58,12,0,0,0,1,3,0,0.0,0,0,0,0,0,0,Matches
Adrià Altimira,es ESP,"DF,MF",22.0,8.6,6,0.7,6,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
Gonçalo Guedes,pt POR,"FW,MF",26.0,10.6,40,3.79,29,1,4,4,1,1,4,0.38,3,0,0,1,0,0,Matches
Eric Bailly,ci CIV,DF,29.0,9.3,3,0.32,2,0,1,0,0,0,1,0.11,1,0,0,0,0,0,Matches
José Luis Morales,es ESP,"FW,MF",36.0,11.6,24,2.06,15,0,3,5,1,0,3,0.26,3,0,0,0,0,0,Matches
Yeremi Pino,es ESP,"MF,FW",20.0,5.3,13,2.46,10,0,1,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Ramón Terrats,es ESP,"MF,DF",22.0,8.7,22,2.51,13,4,1,1,2,1,3,0.34,2,0,0,0,1,0,Matches
Bertrand Traoré,bf BFA,MF,27.0,6.3,16,2.54,11,1,1,1,2,0,3,0.48,2,0,0,1,0,0,Matches
Matteo Gabbia,it ITA,DF,23.0,5.3,5,0.94,5,0,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
Manu Trigueros,es ESP,MF,31.0,3.4,8,2.33,6,2,0,0,0,0,1,0.29,1,0,0,0,0,0,Matches
Ben Brereton,cl CHI,"FW,MF",24.0,3.0,4,1.33,2,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Carlos Romero,es ESP,DF,21.0,2.9,1,0.34,1,0,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
Pepe Reina,es ESP,GK,40.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Denis Suárez,es ESP,"MF,FW",29.0,1.5,8,5.37,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Stefan Lekovic,rs SRB,DF,19.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pascu,es ESP,FW,20.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,27.9,38.0,855,22.5,624,76,53,56,30,16,111,2.92,77,9,4,15,5,1,0
Opponent Total,0,0,27.1,38.0,1004,26.42,737,87,41,66,55,18,115,3.03,89,4,5,7,9,1,0
