Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Max Kilman,eng ENG,DF,26.0,38.0,7,0,0,38,18,2,6,39,21,0,1,0,177,86,36,70.5,Matches
Nélson Semedo,pt POR,"DF,MF",29.0,34.3,10,1,0,48,30,1,80,36,48,0,2,0,188,22,27,44.9,Matches
José Sá,pt POR,GK,30.0,33.7,1,0,0,0,9,0,0,0,0,0,0,0,29,10,0,100.0,Matches
Mario Lemina,ga GAB,MF,29.0,33.0,12,1,1,43,24,8,15,41,58,0,0,0,199,35,41,46.1,Matches
João Gomes,br BRA,MF,22.0,29.4,11,0,0,66,38,1,25,18,74,0,2,0,183,18,25,41.9,Matches
Toti Gomes,pt POR,DF,24.0,30.8,7,0,0,38,13,2,13,26,25,0,0,0,136,56,30,65.1,Matches
Matheus Cunha,br BRA,"FW,MF",24.0,27.1,9,0,0,31,50,4,24,13,16,1,0,0,114,16,47,25.4,Matches
Rayan Aït-Nouri,dz ALG,"DF,MF",22.0,25.9,7,0,0,25,53,8,41,15,44,1,1,0,136,21,25,45.7,Matches
Craig Dawson,eng ENG,DF,33.0,24.5,7,0,0,20,15,4,1,16,20,0,0,0,100,63,32,66.3,Matches
Hwang Hee-chan,kr KOR,"FW,MF",27.0,23.5,6,0,0,31,32,15,11,10,10,1,1,0,75,7,44,13.7,Matches
Pablo Sarabia,es ESP,"MF,FW",31.0,19.4,5,0,0,21,25,9,131,10,13,0,0,0,90,7,21,25.0,Matches
Pedro Neto,pt POR,"FW,MF",23.0,16.8,4,0,0,15,21,2,115,5,3,1,0,0,79,4,18,18.2,Matches
Tommy Doyle,eng ENG,MF,21.0,13.6,2,0,0,11,4,0,28,12,13,0,0,0,93,0,4,0.0,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25.0,10.6,0,1,0,10,24,2,30,8,10,0,0,0,41,8,26,23.5,Matches
Matt Doherty,ie IRL,"DF,MF",31.0,12.8,2,0,0,13,11,5,13,7,18,0,0,0,65,38,33,53.5,Matches
Santiago Bueno,uy URU,DF,24.0,9.1,1,0,0,10,5,0,2,6,7,0,0,0,30,15,26,36.6,Matches
Boubacar Traoré,ml MLI,MF,21.0,9.1,4,0,0,23,4,1,6,5,23,0,0,0,62,6,16,27.3,Matches
Hugo Bueno,es ESP,"DF,MF",20.0,8.2,1,0,0,7,6,1,29,6,14,0,0,1,37,9,12,42.9,Matches
Daniel Bentley,eng ENG,GK,30.0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0,Matches
Fábio Silva,pt POR,FW,21.0,2.9,2,0,0,8,4,5,0,2,4,0,1,0,15,2,5,28.6,Matches
Matheus Nunes,pt POR,MF,24.0,2.0,2,1,1,1,7,3,3,6,1,0,0,0,10,2,1,66.7,Matches
Leon Chiwome,eng ENG,FW,17.0,1.9,0,0,0,2,2,2,0,0,1,0,0,0,5,2,6,25.0,Matches
Nathan Fraser,ie IRL,FW,18.0,2.1,1,0,0,5,3,0,0,1,2,0,0,0,8,3,9,25.0,Matches
Sasa Kalajdzic,at AUT,FW,26.0,1.8,0,0,0,6,4,2,1,1,2,0,0,0,4,8,4,66.7,Matches
Tawanda Chirewa,zw ZIM,"MF,FW",19.0,1.6,1,0,0,4,2,1,4,1,3,0,0,0,3,1,3,25.0,Matches
Jonny Castro,es ESP,MF,29.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Enso Gonzalez,py PAR,"MF,DF",18.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,26.6,38.0,102,4,2,476,405,78,578,284,430,4,8,1,1885,441,491,47.3,0
Opponent Total,0,0,26.4,38.0,84,3,1,420,460,47,731,329,431,6,4,3,1892,491,441,52.7,0
