Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
İlkay Gündoğan,de GER,MF,32.0,33.3,32,22,14,16,2,12,39,30.8,27,19,4,15,21,53,18,1,Matches
Jules Koundé,fr FRA,DF,24.0,32.2,37,23,22,10,5,28,51,54.9,23,32,12,20,25,62,83,5,Matches
Robert Lewandowski,pl POL,FW,34.0,30.6,8,5,0,6,2,4,12,33.3,8,13,4,9,9,17,18,0,Matches
João Cancelo,pt POR,DF,29.0,27.8,64,44,35,21,8,38,58,65.5,20,35,6,29,29,93,59,1,Matches
Marc-André ter Stegen,de GER,GK,31.0,28.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,3,Matches
Andreas Christensen,dk DEN,"DF,MF",27.0,22.0,23,14,7,14,2,16,28,57.1,12,23,10,13,21,44,41,0,Matches
Lamine Yamal,es ESP,FW,16.0,24.5,61,37,32,15,14,18,48,37.5,30,32,0,32,19,80,11,0,Matches
Ronald Araújo,uy URU,DF,24.0,22.2,27,22,11,15,1,12,17,70.6,5,20,11,9,12,39,66,2,Matches
Frenkie de Jong,nl NED,MF,26.0,18.2,43,26,14,23,6,8,19,42.1,11,18,8,10,14,57,28,1,Matches
Pau Cubarsí,es ESP,DF,16.0,17.3,22,14,18,3,1,13,18,72.2,5,20,16,4,12,34,65,0,Matches
João Félix,pt POR,FW,23.0,17.1,22,16,9,7,6,8,22,36.4,14,14,1,13,10,32,11,0,Matches
Raphinha,br BRA,"FW,MF",26.0,15.2,14,8,6,6,2,4,18,22.2,14,17,1,16,13,27,11,0,Matches
Pedri,es ESP,"MF,FW",20.0,16.4,33,24,16,13,4,8,27,29.6,19,27,3,24,14,47,10,0,Matches
Alejandro Balde,es ESP,DF,19.0,15.3,20,11,11,6,3,7,11,63.6,4,14,1,13,5,25,21,1,Matches
Fermin López,es ESP,"MF,FW",20.0,16.1,41,21,15,18,8,14,40,35.0,26,14,1,13,4,45,9,0,Matches
Iñigo Martínez,es ESP,DF,32.0,14.4,10,7,9,1,0,6,8,75.0,2,13,10,3,11,21,50,0,Matches
Ferrán Torres,es ESP,FW,23.0,13.5,9,6,1,6,2,5,16,31.3,11,7,1,6,5,14,6,0,Matches
Oriol Romeu,es ESP,MF,31.0,10.4,34,20,17,14,3,13,24,54.2,11,12,2,10,10,44,18,0,Matches
Gavi,es ESP,"MF,FW",18.0,10.5,39,21,20,14,5,18,36,50.0,18,19,3,16,8,47,16,1,Matches
Iñaki Peña,es ESP,GK,24.0,10.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
Sergi Roberto,es ESP,"MF,DF",31.0,9.6,15,10,4,10,1,3,11,27.3,8,7,2,5,8,23,7,1,Matches
Héctor Fort,es ESP,DF,16.0,3.5,6,5,5,1,0,4,10,40.0,6,0,0,0,2,8,4,0,Matches
Marcos Alonso,es ESP,DF,32.0,2.8,5,3,2,3,0,3,4,75.0,1,2,0,2,4,9,6,0,Matches
Vitor Roque,br BRA,FW,18.0,3.6,3,2,2,0,1,0,2,0.0,2,3,0,3,0,3,5,0,Matches
Marc Guiu,es ESP,"FW,MF",17.0,0.8,1,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,Matches
Abdessamad Ezzalzouli,ma MAR,"FW,MF",21.0,0.8,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,Matches
Eric García,es ESP,DF,22.0,0.6,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,Matches
Ansu Fati,es ESP,"MF,FW",20.0,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Marc Casado,es ESP,MF,19.0,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches
Squad Total,0,0,26.0,38.0,571,363,271,223,77,243,523,46.5,280,363,97,266,257,828,573,17,0
Opponent Total,0,0,26.9,38.0,643,392,333,227,83,338,722,46.8,384,450,159,291,318,961,770,10,0
