Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Gustavo Hamer,nl NED,MF,26.0,36,34,2910.0,32.3,4.0,6.0,10.0,4.0,0.0,0.0,9.0,0.0,3.0,3.0,6.1,9.1,36.0,135.0,86.0,0.12,0.19,0.31,0.12,0.31,0.09,0.19,0.28,0.09,0.28,Matches
Jayden Bogle,eng ENG,DF,23.0,34,32,2788.0,31.0,3.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,2.3,2.3,1.0,3.3,38.0,60.0,92.0,0.1,0.0,0.1,0.1,0.1,0.07,0.03,0.11,0.07,0.11,Matches
Jack Robinson,eng ENG,DF,29.0,34,31,2885.0,32.1,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,1.2,1.2,1.2,2.4,8.0,63.0,14.0,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,Matches
Vinicius Souza,br BRA,MF,24.0,36,29,2668.0,29.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.2,0.8,7.0,66.0,21.0,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03,Matches
Anel Ahmedhodžić,ba BIH,DF,24.0,31,29,2649.0,29.4,2.0,0.0,2.0,2.0,0.0,0.0,11.0,1.0,3.1,3.1,0.8,4.0,15.0,43.0,21.0,0.07,0.0,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14,Matches
Wes Foderingham,eng ENG,GK,32.0,30,29,2649.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Auston Trusty,us USA,DF,24.0,32,28,2572.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.1,1.5,10.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Cameron Archer,eng ENG,"FW,MF",22.0,29,21,1832.0,20.4,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,5.5,5.5,2.8,8.3,33.0,15.0,113.0,0.2,0.05,0.25,0.2,0.25,0.27,0.14,0.41,0.27,0.41,Matches
James Mcatee,eng ENG,"MF,FW",20.0,30,20,1822.0,20.2,3.0,3.0,6.0,2.0,1.0,1.0,2.0,0.0,3.1,2.3,2.9,5.2,55.0,51.0,110.0,0.15,0.15,0.3,0.1,0.25,0.15,0.15,0.3,0.11,0.26,Matches
Oliver Norwood,nir NIR,MF,32.0,27,16,1440.0,16.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,1.1,0.3,0.6,0.9,3.0,73.0,10.0,0.06,0.0,0.06,0.0,0.0,0.07,0.04,0.11,0.02,0.06,Matches
Oliver McBurnie,sct SCO,FW,27.0,21,15,1280.0,14.2,6.0,3.0,9.0,4.0,2.0,2.0,7.0,2.0,6.9,5.3,2.0,7.3,6.0,30.0,60.0,0.42,0.21,0.63,0.28,0.49,0.48,0.14,0.62,0.37,0.51,Matches
Ben Osborn,eng ENG,"DF,MF",28.0,24,14,1367.0,15.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.9,1.1,16.0,55.0,44.0,0.0,0.13,0.13,0.0,0.13,0.01,0.06,0.07,0.01,0.07,Matches
Ben Brereton,cl CHI,"FW,MF",24.0,14,14,1105.0,12.3,6.0,1.0,7.0,5.0,1.0,1.0,3.0,0.0,6.1,5.3,1.5,6.7,23.0,37.0,78.0,0.49,0.08,0.57,0.41,0.49,0.49,0.12,0.61,0.43,0.55,Matches
Andre Brooks,eng ENG,"MF,DF",19.0,20,12,938.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,12.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
