Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Vladimír Coufal,cz CZE,DF,30.0,34.8,1665,1317,337,17,2,4,106,319,1,0,0,0,1154,11,56,Matches
Emerson Palmieri,it ITA,DF,28.0,34.9,1745,1459,280,18,2,5,49,256,6,0,5,0,1421,6,57,Matches
Jarrod Bowen,eng ENG,FW,26.0,33.5,702,641,59,2,5,3,75,3,32,27,0,0,484,2,52,Matches
James Ward-Prowse,eng ENG,MF,28.0,33.3,1672,1422,242,80,2,16,189,3,119,64,53,0,1386,8,19,Matches
Tomáš Souček,cz CZE,MF,28.0,31.9,962,949,7,2,2,9,6,3,0,0,0,0,722,6,27,Matches
Kurt Zouma,fr FRA,DF,28.0,31.5,1148,1096,50,39,1,28,0,3,0,0,0,0,962,2,10,Matches
Alphonse Areola,fr FRA,GK,30.0,30.0,867,555,307,88,0,2,0,0,0,0,0,0,562,5,0,Matches
Lucas Paquetá,br BRA,"FW,MF",25.0,29.1,1465,1397,60,20,30,17,35,11,0,0,0,0,1082,8,53,Matches
Edson Álvarez,mx MEX,MF,25.0,26.4,1207,1184,18,15,2,9,4,3,0,0,0,0,1033,5,14,Matches
Mohammed Kudus,gh GHA,"FW,MF",22.0,27.6,875,855,16,8,3,6,94,4,2,1,0,0,677,4,43,Matches
Nayef Aguerd,ma MAR,DF,27.0,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5,Matches
Michail Antonio,jm JAM,FW,33.0,18.8,308,288,18,1,3,4,27,11,0,0,0,0,180,2,22,Matches
Konstantinos Mavropanos,gr GRE,DF,25.0,16.7,635,597,36,29,1,11,1,5,0,0,0,0,482,2,7,Matches
Łukasz Fabiański,pl POL,GK,38.0,8.0,239,161,77,21,0,3,0,0,0,0,0,0,160,1,1,Matches
Angelo Ogbonna,it ITA,DF,35.0,7.1,214,194,20,12,0,2,0,0,0,0,0,0,171,0,2,Matches
Saïd Benrahma,dz ALG,"FW,MF",27.0,6.9,257,253,2,2,5,0,17,0,0,0,0,0,193,2,9,Matches
Ben Johnson,eng ENG,"DF,FW",23.0,6.0,334,289,43,3,0,3,31,39,1,0,0,0,246,2,15,Matches
Aaron Cresswell,eng ENG,"DF,FW",33.0,4.8,308,245,63,9,0,4,11,50,4,1,3,0,254,0,3,Matches
Pablo Fornals,es ESP,"MF,FW",27.0,4.7,210,204,6,2,0,2,8,2,0,0,0,0,162,0,6,Matches
Danny Ings,eng ENG,FW,31.0,4.5,107,100,6,0,0,0,1,0,0,0,0,0,76,1,6,Matches
Kalvin Phillips,eng ENG,MF,27.0,3.4,179,170,7,6,1,1,1,1,0,0,0,0,141,2,2,Matches
Maxwel Cornet,ci CIV,"MF,FW",26.0,1.2,49,48,1,0,0,0,1,0,0,0,0,0,36,0,2,Matches
Divin Mubama,eng ENG,FW,18.0,0.9,22,20,2,0,0,0,0,0,0,0,0,0,16,0,0,Matches
George Earthy,eng ENG,FW,18.0,0.4,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
Thilo Kehrer,de GER,"DF,MF",26.0,0.2,9,7,2,0,0,0,0,2,0,0,0,0,9,0,0,Matches
Kaelan Casey,eng ENG,DF,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,28.3,38.0,16373,14568,1734,429,60,158,661,721,165,93,61,0,12568,71,411,0
Opponent Total,0,0,26.1,38.0,23658,21913,1691,429,69,106,758,691,226,114,55,6,19795,54,357,0
