Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Álex Remiro,es ESP,GK,28.0,36.4,6,0.16,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Martín Zubimendi,es ESP,MF,24.0,29.5,55,1.87,47,0,3,4,0,1,4,0.14,4,0,0,0,0,0,Matches
Igor Zubeldia,es ESP,DF,26.0,28.0,18,0.64,16,0,0,1,0,1,3,0.11,3,0,0,0,0,0,Matches
Robin Le Normand,es ESP,DF,26.0,27.4,17,0.62,15,0,0,1,1,0,1,0.04,1,0,0,0,0,0,Matches
Mikel Merino,es ESP,MF,27.0,27.6,65,2.36,51,0,0,5,7,2,8,0.29,6,0,0,0,1,1,Matches
Brais Méndez,es ESP,"MF,FW",26.0,26.8,101,3.77,57,20,5,10,7,2,16,0.6,10,0,3,1,2,0,Matches
Hamari Traoré,ml MLI,DF,31.0,25.5,58,2.28,47,4,1,1,1,4,3,0.12,2,0,0,0,0,1,Matches
Takefusa Kubo,jp JPN,"FW,MF",22.0,23.9,110,4.61,66,23,10,5,6,0,7,0.29,4,2,1,0,0,0,Matches
Mikel Oyarzabal,es ESP,"FW,MF",26.0,24.0,41,1.71,27,1,4,5,2,2,4,0.17,3,0,1,0,0,0,Matches
Ander Barrenetxea,es ESP,"FW,MF",21.0,15.9,41,2.58,27,1,7,2,2,2,4,0.25,2,0,0,2,0,0,Matches
Beñat Turrientes,es ESP,MF,21.0,18.7,29,1.55,22,0,2,3,1,1,2,0.11,1,0,0,1,0,0,Matches
Jon Pacheco,es ESP,DF,22.0,17.0,14,0.83,12,0,0,2,0,0,3,0.18,3,0,0,0,0,0,Matches
Arsen Zakharyan,ru RUS,"MF,FW",20.0,13.6,58,4.25,27,19,5,5,2,0,4,0.29,2,1,0,1,0,0,Matches
Kieran Tierney,sct SCO,DF,26.0,13.8,16,1.16,14,1,0,0,1,0,3,0.22,2,1,0,0,0,0,Matches
Javi Galán,es ESP,DF,28.0,11.9,22,1.84,19,2,0,1,0,0,3,0.25,3,0,0,0,0,0,Matches
Umar Sadiq,ng NGA,FW,26.0,12.0,23,1.92,10,0,6,4,2,1,2,0.17,1,0,1,0,0,0,Matches
Aihen Muñoz,es ESP,DF,25.0,12.5,24,1.91,19,1,2,2,0,0,3,0.24,2,0,0,1,0,0,Matches
André Silva,pt POR,FW,27.0,8.1,9,1.11,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sheraldo Becker,sr SUR,"FW,MF",28.0,8.6,19,2.22,14,1,1,3,0,0,5,0.58,4,0,0,1,0,0,Matches
Aritz Elustondo,es ESP,DF,29.0,9.0,13,1.44,7,2,0,3,0,1,2,0.22,0,0,0,2,0,0,Matches
Álvaro Odriozola,es ESP,DF,27.0,4.4,6,1.37,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Jon Aramburu,ve VEN,DF,21.0,6.0,4,0.66,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Fernández,es ESP,FW,27.0,4.5,3,0.66,2,0,0,0,0,1,1,0.22,1,0,0,0,0,0,Matches
Olasagasti,es ESP,MF,22.0,4.0,13,3.25,6,0,4,1,1,1,0,0.0,0,0,0,0,0,0,Matches
Urko González,es ESP,MF,22.0,1.7,1,0.58,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",19.0,2.8,3,1.08,1,0,1,0,1,0,1,0.36,0,0,0,0,1,0,Matches
Unai Marrero,es ESP,GK,21.0,1.6,1,0.63,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jon Magunacelaya,es ESP,"FW,MF",23.0,1.3,3,2.23,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Alex Sola,es ESP,"DF,MF",24.0,0.3,1,3.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Alberto Dadie,es ESP,MF,21.0,0.3,1,3.21,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jon Martin,es ESP,DF,17.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,25.8,38.0,775,20.39,528,79,53,59,37,19,79,2.08,54,4,6,9,4,2,0
Opponent Total,0,0,27.2,38.0,674,17.74,451,71,37,53,51,11,67,1.76,43,5,4,10,4,1,0
