Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Germán Pezzella,ar ARG,DF,32.0,30.7,1485,1413,72,68,1,6,2,3,0,0,0,0,1277,0,3,Matches
Ayoze Pérez,es ESP,FW,30.0,25.5,738,721,13,1,5,4,19,5,0,0,0,0,572,4,44,Matches
Rui Silva,pt POR,GK,29.0,27.5,958,671,284,101,0,0,0,0,0,0,0,0,669,3,0,Matches
Isco,es ESP,MF,31.0,25.8,1502,1288,206,63,15,23,152,7,127,47,46,2,1201,8,27,Matches
Willian José,br BRA,FW,31.0,21.9,541,495,44,0,0,9,7,0,0,0,0,0,429,2,13,Matches
Chadi Riad,ma MAR,DF,20.0,24.0,1198,1166,31,29,0,1,0,2,0,0,0,0,1074,1,9,Matches
Marc Roca,es ESP,MF,26.0,22.0,1193,1118,69,59,1,14,25,4,6,2,2,0,997,6,13,Matches
Guido Rodríguez,ar ARG,MF,29.0,20.5,1042,998,41,40,1,21,6,1,0,0,0,0,888,3,19,Matches
Juan Miranda,es ESP,DF,23.0,20.6,1166,934,226,43,0,7,62,178,5,0,3,0,913,6,19,Matches
Héctor Bellerín,es ESP,DF,28.0,19.0,979,791,185,17,0,8,40,168,0,0,0,0,756,3,20,Matches
Abner,br BRA,DF,23.0,15.6,797,628,165,7,0,3,26,158,0,0,0,0,615,4,23,Matches
Johnny Cardoso,us USA,MF,21.0,14.8,640,627,11,10,1,5,3,1,0,0,0,0,539,2,13,Matches
Pablo Fornals,es ESP,"FW,MF",27.0,12.8,672,625,43,5,3,5,51,12,26,12,11,0,500,4,28,Matches
Assane Diao,es ESP,FW,17.0,11.6,264,261,2,0,0,0,9,0,0,0,0,0,200,1,12,Matches
Sokratis Papastathopoulos,gr GRE,DF,35.0,12.6,574,547,27,26,0,0,0,1,0,0,0,0,507,0,3,Matches
Youssouf Sabaly,sn SEN,DF,30.0,11.6,656,561,92,6,0,0,27,86,0,0,0,0,540,3,17,Matches
Aitor Ruibal,es ESP,"DF,FW",27.0,11.3,586,490,95,11,0,4,28,84,0,0,0,0,445,1,27,Matches
Nabil Fekir,fr FRA,"MF,FW",30.0,11.7,611,534,73,29,3,5,56,3,34,13,17,0,482,4,16,Matches
Rodri,es ESP,"FW,MF",23.0,11.7,570,544,23,5,6,1,36,13,5,5,0,0,449,3,21,Matches
Claudio Bravo,cl CHI,GK,40.0,7.0,230,153,76,16,1,1,0,0,0,0,0,0,186,1,0,Matches
Abdessamad Ezzalzouli,ma MAR,FW,21.0,9.6,353,340,11,3,3,2,33,5,3,1,1,0,232,2,20,Matches
Luiz Henrique,br BRA,FW,22.0,6.8,211,207,3,1,1,2,24,1,1,0,0,0,146,1,11,Matches
Sergi Altimira,es ESP,MF,21.0,6.3,320,315,3,1,0,4,1,1,1,1,0,0,289,2,3,Matches
William Carvalho,pt POR,MF,31.0,7.6,634,612,20,19,0,1,4,1,0,0,0,0,560,2,6,Matches
Andrés Guardado,mx MEX,MF,36.0,5.0,298,275,22,11,0,7,11,2,9,2,6,0,253,1,5,Matches
Borja Iglesias,es ESP,FW,30.0,4.5,101,91,10,0,1,1,1,0,0,0,0,0,83,0,1,Matches
Luiz Felipe,it ITA,DF,26.0,4.0,169,163,4,4,0,0,0,0,0,0,0,0,151,2,0,Matches
Ezequiel Ávila,ar ARG,FW,29.0,3.3,91,89,2,1,0,3,12,1,0,0,0,0,55,0,6,Matches
Fran Vieites,es ESP,GK,24.0,3.5,119,68,49,14,0,0,0,0,0,0,0,0,76,2,0,Matches
Marc Bartra,es ESP,DF,32.0,2.5,118,107,9,9,0,1,0,0,0,0,0,0,101,2,0,Matches
Cédric Bakambu,cd COD,FW,32.0,2.2,39,35,4,0,0,0,0,0,0,0,0,0,26,0,2,Matches
Ricardo Visus,es ESP,DF,22.0,1.8,61,57,4,4,0,0,0,0,0,0,0,0,50,0,0,Matches
Juan Cruz,es ESP,FW,23.0,0.8,20,20,0,0,0,0,0,0,0,0,0,0,15,0,0,Matches
Pablo Busto,es ESP,DF,17.0,0.5,26,22,4,0,1,0,1,4,0,0,0,0,18,0,0,Matches
Paul Akouokou,ci CIV,MF,25.0,0.3,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
Squad Total,0,0,27.8,38.0,18979,16983,1923,603,43,138,636,741,217,83,86,2,15310,73,381,0
Opponent Total,0,0,27.0,38.0,18933,17017,1810,468,56,106,712,787,192,84,81,2,15171,106,388,0
