Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Max Kilman,eng ENG,DF,26.0,38.0,47,21,40,6,1,24,32,75.0,8,64,37,27,39,86,182,4,Matches
Nélson Semedo,pt POR,"DF,MF",29.0,34.3,79,48,52,19,8,38,64,59.4,26,44,8,36,36,115,85,1,Matches
José Sá,pt POR,GK,30.0,33.7,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,21,5,Matches
Mario Lemina,ga GAB,MF,29.0,33.0,90,58,46,33,11,25,47,53.2,22,36,9,27,41,131,64,0,Matches
João Gomes,br BRA,MF,22.0,29.4,128,74,67,49,12,44,99,44.4,55,51,8,43,18,146,29,2,Matches
Toti Gomes,pt POR,DF,24.0,30.8,44,25,32,8,4,24,37,64.9,13,40,19,21,26,70,93,2,Matches
Matheus Cunha,br BRA,"FW,MF",24.0,27.1,30,16,8,17,5,13,35,37.1,22,28,7,21,13,43,21,1,Matches
Rayan Aït-Nouri,dz ALG,"DF,MF",22.0,25.9,71,44,41,23,7,28,49,57.1,21,32,6,26,15,86,38,0,Matches
Craig Dawson,eng ENG,DF,33.0,24.5,30,20,23,6,1,22,34,64.7,12,51,39,12,16,46,120,1,Matches
Hwang Hee-chan,kr KOR,"FW,MF",27.0,23.5,20,10,11,8,1,9,24,37.5,15,19,1,18,10,30,9,0,Matches
Pablo Sarabia,es ESP,"MF,FW",31.0,19.4,20,13,8,8,4,12,36,33.3,24,17,1,16,10,30,9,0,Matches
Pedro Neto,pt POR,"FW,MF",23.0,16.8,7,3,3,2,2,5,15,33.3,10,5,1,4,5,12,2,0,Matches
Tommy Doyle,eng ENG,MF,21.0,13.6,26,13,11,10,5,14,23,60.9,9,22,9,13,12,38,18,0,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25.0,10.6,17,10,9,6,2,7,15,46.7,8,18,2,16,8,25,14,0,Matches
Matt Doherty,ie IRL,"DF,MF",31.0,12.8,31,18,17,10,4,12,23,52.2,11,15,5,10,7,38,47,0,Matches
Santiago Bueno,uy URU,DF,24.0,9.1,13,7,5,7,1,5,11,45.5,6,22,12,10,6,19,33,0,Matches
Boubacar Traoré,ml MLI,MF,21.0,9.1,35,23,16,17,2,9,21,42.9,12,12,2,10,5,40,7,0,Matches
Hugo Bueno,es ESP,"DF,MF",20.0,8.2,21,14,12,7,2,12,19,63.2,7,17,4,13,6,27,24,0,Matches
Daniel Bentley,eng ENG,GK,30.0,4.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Fábio Silva,pt POR,FW,21.0,2.9,7,4,3,4,0,2,3,66.7,1,1,0,1,2,9,0,0,Matches
Matheus Nunes,pt POR,MF,24.0,2.0,3,1,3,0,0,2,6,33.3,4,0,0,0,6,9,1,0,Matches
Leon Chiwome,eng ENG,FW,17.0,1.9,2,1,0,1,1,1,2,50.0,1,3,1,2,0,2,2,0,Matches
Nathan Fraser,ie IRL,FW,18.0,2.1,5,2,2,1,2,1,3,33.3,2,2,1,1,1,6,2,0,Matches
Sasa Kalajdzic,at AUT,FW,26.0,1.8,6,2,3,2,1,1,2,50.0,1,3,0,3,1,7,6,0,Matches
Tawanda Chirewa,zw ZIM,"MF,FW",19.0,1.6,7,3,3,3,1,2,3,66.7,1,0,0,0,1,8,0,0,Matches
Jonny Castro,es ESP,MF,29.0,0.1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,Matches
Enso Gonzalez,py PAR,"MF,DF",18.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.6,38.0,739,430,415,247,77,312,607,51.4,295,506,173,333,284,1023,828,16,0
Opponent Total,0,0,26.4,38.0,713,431,296,288,129,324,739,43.8,415,394,107,287,329,1042,613,16,0
