Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Bernd Leno,de GER,GK,31.0,38.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Antonee Robinson,us USA,DF,25.0,36.3,0,16,7,43.8,0.44,0.19,0.0,0.0,22.9,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Andreas Pereira,br BRA,MF,27.0,29.0,3,52,16,30.8,1.79,0.55,0.06,0.19,21.9,7,0,0,4.6,4.6,0.09,-1.6,-1.6,Matches
João Palhinha,pt POR,MF,28.0,30.0,4,45,14,31.1,1.5,0.47,0.09,0.29,17.9,1,0,0,3.3,3.3,0.07,0.7,0.7,Matches
Timothy Castagne,be BEL,DF,27.0,29.3,1,14,4,28.6,0.48,0.14,0.07,0.25,11.3,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
Calvin Bassey,ng NGA,DF,23.0,25.6,1,5,1,20.0,0.2,0.04,0.2,1.0,10.1,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
Alex Iwobi,ng NGA,"FW,MF",27.0,24.4,5,51,18,35.3,2.09,0.74,0.1,0.28,18.5,0,0,0,5.3,5.3,0.1,-0.3,-0.3,Matches
Willian,br BRA,FW,34.0,22.8,4,43,16,37.2,1.89,0.7,0.05,0.13,20.4,2,2,2,5.1,3.6,0.08,-1.1,-1.6,Matches
Tosin Adarabioyo,eng ENG,DF,25.0,18.0,2,14,5,35.7,0.78,0.28,0.14,0.4,14.2,0,0,0,0.7,0.7,0.05,1.3,1.3,Matches
Rodrigo Muniz,br BRA,FW,22.0,17.7,9,73,26,35.6,4.12,1.47,0.12,0.35,11.8,0,0,0,8.7,8.7,0.12,0.3,0.3,Matches
Raúl Jiménez,mx MEX,FW,32.0,15.5,7,41,17,41.5,2.65,1.1,0.17,0.41,14.7,0,0,0,5.2,5.2,0.13,1.8,1.8,Matches
Tim Ream,us USA,DF,35.0,16.7,1,1,1,100.0,0.06,0.06,1.0,1.0,1.3,0,0,0,1.0,1.0,0.96,0.0,0.0,Matches
Bobby Reid,jm JAM,FW,30.0,15.8,6,33,8,24.2,2.09,0.51,0.18,0.75,15.7,0,0,0,4.6,4.6,0.14,1.4,1.4,Matches
Harry Wilson,wls WAL,FW,26.0,18.0,4,40,13,32.5,2.22,0.72,0.1,0.31,19.1,3,0,0,3.4,3.4,0.08,0.6,0.6,Matches
Issa Diop,fr FRA,DF,26.0,15.8,0,5,1,20.0,0.32,0.06,0.0,0.0,14.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Harrison Reed,eng ENG,MF,28.0,14.7,0,9,2,22.2,0.61,0.14,0.0,0.0,23.6,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Tom Cairney,sct SCO,MF,32.0,16.5,1,17,8,47.1,1.03,0.48,0.06,0.13,21.2,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
Saša Lukić,rs SRB,MF,26.0,12.5,1,13,3,23.1,1.04,0.24,0.08,0.33,17.1,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
Kenny Tete,nl NED,DF,27.0,9.6,1,4,1,25.0,0.42,0.1,0.25,1.0,7.9,0,0,0,0.9,0.9,0.21,0.1,0.1,Matches
Carlos Vinícius,br BRA,FW,28.0,3.5,2,9,5,55.6,2.57,1.43,0.22,0.4,10.9,0,0,0,1.6,1.6,0.18,0.4,0.4,Matches
Adama Traoré,es ESP,"FW,MF",27.0,4.2,2,11,7,63.6,2.63,1.67,0.18,0.29,16.0,0,0,0,1.5,1.5,0.14,0.5,0.5,Matches
Armando Broja,al ALB,FW,21.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Luke Harris,wls WAL,MF,18.0,0.8,0,1,1,100.0,1.2,1.2,0.0,0.0,11.2,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches
Fodé Ballo-Touré,sn SEN,"DF,MF",26.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Aleksandar Mitrović,rs SRB,FW,28.0,0.4,0,2,1,50.0,5.45,2.73,0.0,0.0,11.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Squad Total,0,0,28.4,38.0,54,499,175,35.1,13.13,4.61,0.1,0.3,17.0,14,2,2,50.8,49.2,0.1,3.2,2.8,0
Opponent Total,0,0,26.1,38.0,57,515,182,35.3,13.55,4.79,0.1,0.27,16.6,16,8,8,62.9,56.9,0.11,-5.9,-7.9,0
