Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Thomas Kaminski,be BEL,GK,30.0,37.8,2,1,2,0,0,2,6,33.3,4,1,0,1,0,2,14,2,Matches
Alfie Doughty,eng ENG,DF,23.0,32.5,63,40,29,18,16,37,82,45.1,45,51,9,42,31,94,43,4,Matches
Carlton Morris,eng ENG,"FW,MF",27.0,31.8,15,8,4,6,5,9,15,60.0,6,24,5,19,1,16,53,0,Matches
Ross Barkley,eng ENG,MF,29.0,29.1,47,19,16,21,10,11,48,22.9,37,25,9,16,25,72,51,2,Matches
Teden Mengi,eng ENG,DF,21.0,27.4,54,22,33,20,1,19,30,63.3,11,39,27,12,57,111,140,1,Matches
Gabriel Osho,ng NGA,DF,24.0,20.5,41,22,21,19,1,16,27,59.3,11,37,20,17,31,72,92,0,Matches
Issa Kaboré,bf BFA,DF,22.0,19.2,52,28,23,21,8,24,45,53.3,21,22,11,11,16,68,56,2,Matches
Amari'i Bell,jm JAM,DF,29.0,19.1,50,33,30,19,1,22,35,62.9,13,33,15,18,25,75,60,1,Matches
Chiedozie Ogbene,ie IRL,"MF,DF",26.0,22.2,17,10,10,7,0,12,22,54.5,10,14,3,11,7,24,34,2,Matches
Tahith Chong,nl NED,"MF,FW",23.0,22.0,36,22,19,13,4,15,33,45.5,18,30,6,24,8,44,11,1,Matches
Reece Burke,eng ENG,DF,26.0,18.4,37,23,17,14,6,12,26,46.2,14,25,18,7,18,55,78,1,Matches
Elijah Adebayo,eng ENG,FW,25.0,15.8,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0,Matches
Albert Sambi Lokonga,be BEL,MF,23.0,14.5,29,18,14,12,3,17,24,70.8,7,23,13,10,11,40,14,0,Matches
Jordan Clark,eng ENG,MF,29.0,14.5,30,17,14,11,5,11,39,28.2,28,24,3,21,11,41,15,1,Matches
Andros Townsend,eng ENG,"MF,FW",32.0,13.4,21,13,11,2,8,13,27,48.1,14,12,0,12,5,26,10,0,Matches
Tom Lockyer,wls WAL,DF,28.0,13.0,25,16,17,6,2,15,22,68.2,7,23,13,10,23,48,68,0,Matches
Marvelous Nakamba,zw ZIM,MF,29.0,12.6,40,24,24,14,2,24,42,57.1,18,23,6,17,11,51,11,1,Matches
Jacob Brown,sct SCO,"MF,FW",25.0,11.3,19,12,7,7,5,7,18,38.9,11,20,1,19,8,27,22,0,Matches
Pelly Ruddock Mpanzu,cd COD,MF,30.0,12.2,13,5,6,6,1,5,9,55.6,4,15,7,8,9,22,16,3,Matches
Daiki Hashioka,jp JPN,DF,24.0,6.6,11,5,6,4,1,5,11,45.5,6,12,7,5,8,19,20,0,Matches
Ryan John Giles,eng ENG,"DF,MF",23.0,5.6,8,6,4,3,1,2,7,28.6,5,2,0,2,4,12,22,0,Matches
Fred Onyedinma,eng ENG,"DF,MF",26.0,4.5,10,6,7,3,0,5,12,41.7,7,3,0,3,1,11,13,0,Matches
Mads Juel Andersen,dk DEN,DF,25.0,4.4,6,5,4,2,0,4,4,100.0,0,9,6,3,8,14,29,0,Matches
Cauley Woodrow,eng ENG,"FW,MF",28.0,4.7,16,10,8,4,4,9,16,56.3,7,7,1,6,1,17,14,0,Matches
Luke Berry,eng ENG,"MF,DF",31.0,3.6,7,2,2,4,1,2,3,66.7,1,6,1,5,0,7,3,0,Matches
Joseph Johnson,eng ENG,DF,17.0,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
James Shea,eng ENG,GK,32.0,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,Matches
Zack Nelson,eng ENG,"MF,DF",18.0,0.1,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,Matches
Squad Total,0,0,26.7,38.0,654,368,330,236,88,299,616,48.5,317,493,183,310,325,979,916,21,0
Opponent Total,0,0,26.5,38.0,716,418,348,269,99,331,685,48.3,354,469,140,329,269,985,839,18,0
