Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Illia Zabarnyi,ua UKR,DF,20.0,37.0,59,32,29,29,1,23,50,46.0,27,53,34,19,33,92,143,4,Matches
Dominic Solanke,eng ENG,FW,25.0,36.9,23,11,3,13,7,10,29,34.5,19,24,5,19,7,30,43,0,Matches
Ryan Christie,sct SCO,MF,28.0,32.3,86,44,34,35,17,39,92,42.4,53,52,11,41,52,138,53,1,Matches
Neto,br BRA,GK,34.0,32.0,0,0,0,0,0,0,0,0.0,0,1,0,1,1,1,12,3,Matches
Lewis Cook,eng ENG,MF,26.0,31.0,61,41,24,30,7,34,63,54.0,29,32,11,21,65,126,46,1,Matches
Marcos Senesi,ar ARG,DF,26.0,24.9,55,32,28,23,4,24,56,42.9,32,50,23,27,35,90,109,1,Matches
Justin Kluivert,nl NED,"MF,FW",24.0,21.3,28,14,5,12,11,8,30,26.7,22,16,1,15,8,36,11,0,Matches
Adam Smith,eng ENG,DF,32.0,23.9,37,23,18,11,8,19,39,48.7,20,28,11,17,21,58,62,0,Matches
Marcus Tavernier,eng ENG,FW,24.0,23.5,53,34,25,22,6,26,48,54.2,22,31,3,28,5,58,23,0,Matches
Antoine Semenyo,gh GHA,FW,23.0,23.4,24,17,7,9,8,9,27,33.3,18,39,2,37,6,30,21,0,Matches
Milos Kerkez,hu HUN,DF,19.0,21.9,47,26,31,13,3,30,42,71.4,12,31,11,20,20,67,60,2,Matches
Lloyd Kelly,eng ENG,DF,24.0,17.3,24,19,10,9,5,14,25,56.0,11,22,12,10,13,37,67,0,Matches
Philip Billing,dk DEN,MF,27.0,15.5,33,16,7,22,4,9,27,33.3,18,31,5,26,20,53,28,1,Matches
Max Aarons,eng ENG,DF,23.0,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,Matches
Dango Ouattara,bf BFA,"FW,DF",21.0,13.7,45,27,22,11,12,19,34,55.9,15,18,3,15,22,67,35,0,Matches
Alex Scott,eng ENG,MF,19.0,11.3,24,15,8,10,6,12,28,42.9,16,14,4,10,12,36,18,2,Matches
Luis Sinisterra,co COL,"FW,MF",24.0,7.8,23,12,9,10,4,9,16,56.3,7,18,0,18,8,31,4,0,Matches
Chris Mepham,wls WAL,DF,25.0,6.9,12,11,9,3,0,9,14,64.3,5,13,6,7,7,19,30,1,Matches
Mark Travers,ie IRL,GK,24.0,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,Matches
Joe Rothwell,eng ENG,MF,28.0,4.3,7,2,4,2,1,2,8,25.0,6,4,2,2,3,10,2,0,Matches
Enes Ünal,tr TUR,"FW,MF",26.0,3.6,6,4,2,3,1,2,5,40.0,3,4,2,2,1,7,6,0,Matches
David Brooks,wls WAL,"FW,MF",26.0,3.1,5,4,2,1,2,2,4,50.0,2,3,0,3,2,7,2,0,Matches
Ionuț Radu,ro ROU,GK,26.0,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Jaidon Anthony,eng ENG,FW,23.0,1.7,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0,Matches
Tyler Adams,us USA,MF,24.0,1.3,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0,Matches
James Hill,eng ENG,DF,21.0,0.8,3,2,1,2,0,1,1,100.0,0,3,2,1,3,6,8,0,Matches
Kieffer Moore,wls WAL,"FW,MF",30.0,1.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Hamed Junior Traorè,ci CIV,MF,23.0,0.5,1,0,1,0,0,1,3,33.3,2,3,0,3,0,1,0,0,Matches
Romain Faivre,fr FRA,"MF,FW",25.0,0.5,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0,Matches
Dominic Sadi,eng ENG,FW,19.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,25.7,38.0,693,410,301,281,111,325,688,47.2,363,504,153,351,357,1050,817,16,0
Opponent Total,0,0,26.2,38.0,800,480,389,303,108,414,796,52.0,382,476,161,315,264,1064,813,14,0
